Group,Class,Long,Short,Daily
ASV0506,Gammaproteobacteria,0.00531153,0,0.002506266
ASV0507,Clostridia,0,0,0.002162606
ASV0508,Bacilli,0,0,0
ASV0509,Bacteroidia,0,0.0013397,0.004315434
ASV0512,Gammaproteobacteria,0.006311463,0,0
ASV0513,Bacilli,0.00026897,0,0.006273516
ASV0515,Erysipelotrichia,0,0,0
ASV0517,Gammaproteobacteria,0,0.001852368,0.00211054
ASV0518,Actinobacteria,0.00045229,0.000316601,0.003207073
ASV0519,Bacilli,0,0,0
ASV0520,Deltaproteobacteria,0.031414862,0,0
ASV0522,Gammaproteobacteria,0.025097911,0,0
ASV0523,Alphaproteobacteria,0.00062303,0.025122304,0.048439884
ASV0524,Clostridia,0.00026897,0.003166702,0.007177352
ASV0528,Bacteroidia,0,0,0.002770083
ASV0529,Bacteroidia,0,0,0.002242448
ASV0530,Deltaproteobacteria,0.000262042,0,0
ASV0534,Alphaproteobacteria,0.000160775,0,0
ASV0535,Bacilli,0,0,0.002062861
ASV0537,Actinobacteria,0,0,0
ASV0538,Gammaproteobacteria,0,0.000646684,0.004362458
ASV0541,Actinobacteria,0.002838165,0,0.000263817
ASV0542,Actinobacteria,0.000179313,0.000687838,0.000666052
ASV0543,Gammaproteobacteria,0.002678744,0,0
ASV0545,Deltaproteobacteria,0.014933285,0,0
ASV0546,Gammaproteobacteria,8.96568E-05,0.002214077,0.004367194
ASV0547,Gammaproteobacteria,0.000179313,0,0
ASV0548,Bacteroidia,0,0,0.008065373
ASV0552,Clostridia,0.001077884,0.002562284,0.001621955
ASV0554,Gammaproteobacteria,0.000803336,0.003012495,0.003946439
ASV0556,Gammaproteobacteria,0.004304671,0.0001583,0
ASV0558,Bacteroidia,0.021174282,0,0
ASV0559,Clostridia,0,0.000793098,0.003265925
ASV0561,Alphaproteobacteria,0,0.002880184,0
ASV0562,Clostridia,0,0,0
ASV0563,Bacteroidia,0,0,0
ASV0568,Gammaproteobacteria,0.005190364,0,0
ASV0569,Bacteroidia,0,0,0
ASV0571,Deltaproteobacteria,0.022241067,0.001293368,0
ASV0573,Erysipelotrichia,0.000179313,0,0.00036782
ASV0574,Bacteroidia,0.000179313,0,0.000263817
ASV0575,Deltaproteobacteria,0.022102274,0,0
ASV0576,Gammaproteobacteria,0,0,0.001924444
ASV0577,Alphaproteobacteria,0,0.000462513,0
ASV0578,Bacilli,0,0,0
ASV0580,Deltaproteobacteria,0.009990414,0,0
ASV0581,Gammaproteobacteria,0,0,0
ASV0582,Bacteroidia,0,0.000462513,0.002911462
ASV0583,Bacilli,0,0,0
ASV0584,Bacilli,8.96568E-05,0,0
ASV0587,Clostridia,0,0,0
ASV0590,Actinobacteria,0,0.000877193,0.003308634
ASV0594,Bacteroidia,0,0,0
ASV0595,Clostridia,0,0.002177665,0.001603189
ASV0597,Alphaproteobacteria,0.014107794,0,0
ASV0599,Bacteroidia,0,0,0
ASV0600,Clostridia,0,0,0.000131909
ASV0602,Verrucomicrobiae,0,0,0
ASV0605,Bacteroidia,0,0.001048969,0.004689863
ASV0606,Actinobacteria,0,0.001439782,0.003537368
ASV0607,Gammaproteobacteria,8.96568E-05,0,0.00211054
ASV0608,Bacteroidia,0.004848504,0,0.001714813
ASV0613,Gammaproteobacteria,0,0.015819627,0.045532107
ASV0614,Bacilli,0,0,0
ASV0615,Gammaproteobacteria,0.000379398,0.000474901,0.000540652
ASV0616,Bacteroidia,0.000362633,0.000422878,0
ASV0620,Bacteroidia,0,0,0.002911462
ASV0621,Bacilli,0,0.001266404,0
ASV0622,Clostridia,0,0,0.004003261
ASV0623,Gammaproteobacteria,0.000285185,0.000646684,0.00073564
ASV0624,Cloacimonadia,0.069934907,0,0
ASV0631,Gammaproteobacteria,0.000957258,0.009462938,0.01563028
ASV0632,Bacteroidia,0,0,0
ASV0633,Bacilli,0,0,0.000270326
ASV0634,Deltaproteobacteria,0.084422762,0,0
ASV0636,Gammaproteobacteria,0.000194411,0,0
ASV0638,Bacteroidia,0,0.002045518,0.001819664
ASV0639,Clostridia,0,0,0
ASV0640,Deltaproteobacteria,0.009968252,0,0
ASV0644,Bacteroidia,0,0,0
ASV0645,Bacteroidia,0,0.003007709,0
ASV0646,Bacteroidia,0.000179313,0,0.000395726
ASV0649,Gammaproteobacteria,0,0,0
ASV0650,Clostridia,0.000179313,0.000476497,0.002242448
ASV0651,Gammaproteobacteria,0,0,0
